date,region,product,units,revenue_kdkk
2026-01-01,North,Widgets,39,46.2
2026-01-01,North,Gadgets,21,72.3
2026-01-01,South,Widgets,27,33.2
2026-01-01,South,Gadgets,11,37.5
2026-01-01,East,Widgets,50,59.0
2026-01-01,East,Gadgets,29,101.5
2026-01-01,West,Widgets,25,30.3
2026-01-01,West,Gadgets,12,42.1
2026-01-01,Central,Widgets,38,46.4
2026-01-01,Central,Gadgets,24,81.5
2026-01-02,North,Widgets,44,52.3
2026-01-02,North,Gadgets,16,54.8
2026-01-02,South,Widgets,33,38.6
2026-01-02,South,Gadgets,15,51.2
2026-01-02,East,Widgets,60,73.3
2026-01-02,East,Gadgets,23,81.6
2026-01-02,West,Widgets,12,14.3
2026-01-02,West,Gadgets,11,38.6
2026-01-02,Central,Widgets,40,49.0
2026-01-02,Central,Gadgets,16,56.3
2026-01-03,North,Widgets,20,23.6
2026-01-03,North,Gadgets,11,38.0
2026-01-03,South,Widgets,16,18.7
2026-01-03,South,Gadgets,8,27.6
2026-01-03,East,Widgets,23,27.4
2026-01-03,East,Gadgets,13,44.7
2026-01-03,West,Widgets,11,13.3
2026-01-03,West,Gadgets,9,31.7
2026-01-03,Central,Widgets,21,24.7
2026-01-03,Central,Gadgets,13,45.2
2026-01-04,North,Widgets,25,30.1
2026-01-04,North,Gadgets,11,38.9
2026-01-04,South,Widgets,17,20.1
2026-01-04,South,Gadgets,6,20.4
2026-01-04,East,Widgets,25,29.5
2026-01-04,East,Gadgets,16,57.5
2026-01-04,West,Widgets,12,14.5
2026-01-04,West,Gadgets,5,17.4
2026-01-04,Central,Widgets,21,24.8
2026-01-04,Central,Gadgets,9,31.0
2026-01-05,North,Widgets,35,42.2
2026-01-05,North,Gadgets,21,75.3
2026-01-05,South,Widgets,26,32.1
2026-01-05,South,Gadgets,17,59.5
2026-01-05,East,Widgets,55,64.5
2026-01-05,East,Gadgets,30,105.8
2026-01-05,West,Widgets,23,26.9
2026-01-05,West,Gadgets,10,34.8
2026-01-05,Central,Widgets,45,55.5
2026-01-05,Central,Gadgets,20,71.5
2026-01-06,North,Widgets,52,63.1
2026-01-06,North,Gadgets,23,80.7
2026-01-06,South,Widgets,28,32.8
2026-01-06,South,Gadgets,20,69.7
2026-01-06,East,Widgets,30,36.8
2026-01-06,East,Gadgets,33,113.9
2026-01-06,West,Widgets,20,24.6
2026-01-06,West,Gadgets,12,42.9
2026-01-06,Central,Widgets,34,41.1
2026-01-06,Central,Gadgets,25,85.7
2026-01-07,North,Widgets,42,51.2
2026-01-07,North,Gadgets,17,59.6
2026-01-07,South,Widgets,33,38.5
2026-01-07,South,Gadgets,16,57.4
2026-01-07,East,Widgets,66,78.3
2026-01-07,East,Gadgets,22,75.0
2026-01-07,West,Widgets,30,35.1
2026-01-07,West,Gadgets,9,31.5
2026-01-07,Central,Widgets,47,57.3
2026-01-07,Central,Gadgets,23,78.7
2026-01-08,North,Widgets,32,37.9
2026-01-08,North,Gadgets,23,82.3
2026-01-08,South,Widgets,26,31.3
2026-01-08,South,Gadgets,17,60.3
2026-01-08,East,Widgets,56,69.2
2026-01-08,East,Gadgets,34,120.1
2026-01-08,West,Widgets,18,21.1
2026-01-08,West,Gadgets,13,44.7
2026-01-08,Central,Widgets,32,37.8
2026-01-08,Central,Gadgets,25,86.0
2026-01-09,North,Widgets,51,60.2
2026-01-09,North,Gadgets,25,89.6
2026-01-09,South,Widgets,30,35.4
2026-01-09,South,Gadgets,15,53.0
2026-01-09,East,Widgets,55,67.7
2026-01-09,East,Gadgets,32,112.5
2026-01-09,West,Widgets,16,19.6
2026-01-09,West,Gadgets,13,44.7
2026-01-09,Central,Widgets,43,51.4
2026-01-09,Central,Gadgets,23,80.3
2026-01-10,North,Widgets,20,24.7
2026-01-10,North,Gadgets,8,27.3
2026-01-10,South,Widgets,13,15.9
2026-01-10,South,Gadgets,9,31.0
2026-01-10,East,Widgets,29,34.6
2026-01-10,East,Gadgets,18,62.2
2026-01-10,West,Widgets,11,13.2
2026-01-10,West,Gadgets,9,32.2
2026-01-10,Central,Widgets,18,22.2
2026-01-10,Central,Gadgets,10,35.7
2026-01-11,North,Widgets,29,35.5
2026-01-11,North,Gadgets,11,37.7
2026-01-11,South,Widgets,13,15.5
2026-01-11,South,Gadgets,8,27.3
2026-01-11,East,Widgets,17,20.1
2026-01-11,East,Gadgets,20,71.2
2026-01-11,West,Widgets,9,11.1
2026-01-11,West,Gadgets,7,25.2
2026-01-11,Central,Widgets,14,16.5
2026-01-11,Central,Gadgets,9,31.1
2026-01-12,North,Widgets,51,61.4
2026-01-12,North,Gadgets,22,78.1
2026-01-12,South,Widgets,36,43.2
2026-01-12,South,Gadgets,17,60.8
2026-01-12,East,Widgets,68,79.5
2026-01-12,East,Gadgets,41,140.8
2026-01-12,West,Widgets,18,21.3
2026-01-12,West,Gadgets,11,37.6
2026-01-12,Central,Widgets,42,50.7
2026-01-12,Central,Gadgets,19,67.0
2026-01-13,North,Widgets,33,39.7
2026-01-13,North,Gadgets,26,93.4
2026-01-13,South,Widgets,32,37.8
2026-01-13,South,Gadgets,21,73.0
2026-01-13,East,Widgets,51,60.5
2026-01-13,East,Gadgets,26,92.4
2026-01-13,West,Widgets,27,33.4
2026-01-13,West,Gadgets,14,50.5
2026-01-13,Central,Widgets,42,49.7
2026-01-13,Central,Gadgets,22,79.0
2026-01-14,North,Widgets,53,63.1
2026-01-14,North,Gadgets,17,58.3
2026-01-14,South,Widgets,34,41.1
2026-01-14,South,Gadgets,12,43.2
2026-01-14,East,Widgets,54,66.0
2026-01-14,East,Gadgets,30,103.7
2026-01-14,West,Widgets,18,21.1
2026-01-14,West,Gadgets,8,27.4
2026-01-14,Central,Widgets,45,53.3
2026-01-14,Central,Gadgets,24,84.5
2026-01-15,North,Widgets,41,49.6
2026-01-15,North,Gadgets,20,69.0
2026-01-15,South,Widgets,18,22.0
2026-01-15,South,Gadgets,17,58.0
2026-01-15,East,Widgets,48,55.9
2026-01-15,East,Gadgets,32,113.8
